OPEC,Country,5.63,220
Peace,Insurance,2.94,221
Competition,Price,6.44,225
Consumer,Confidence,4.13,226
Consumer,Energy,4.75,227
Problem,Airport,2.38,228
Grocery store,Money,5.94,233
Month,Hotel,1.81,236
Bed,Closet,6.72,239
Closet,Clothing,8,240
Impartiality,Interest,5.16,243
Street,City block,6.88,247
Street,Child,4.94,248
Dividend,Payment,7.63,256
Dividend,Calculation,6.48,257
Calculation,Computation,8.44,258
Currency,Market,7.5,259
OPEC,Petroleum,8.59,260
Petroleum,Stock,6.34,261
Dollar,Japanese yen,7.78,262
Computer,Computer software,8.5,270
5 (number),Month,3.38,275
Liquid,Water,7.89,278
Season (sports),Baseball,5.97,279
Game,Team,7.69,281
Seafood,Sea,7.47,286
Seafood,Food,8.34,287
Seafood,Lobster,8.7,288
Lobster,Food,7.81,289
Lobster,Wine,5.7,290
Video,Archive,6.34,292
Championship,Tournament,8.36,297
Day,Summer,3.94,300
Drought,Summer,7.16,301
Summer,Nature,5.63,302
Day,Dawn,7.53,303
Nature,Man,6.25,306
Man,Woman,8.3,307
Man,Governor,5.25,308
Murder,Manslaughter,8.53,309
Opera,Performance,6.88,311
Life,Lesson,5.94,312
Television,Film,7.72,315
Morality,Marriage,3.69,321
Mexico,Brazil,7.44,322
Family,Planning,6.25,325
Opera,Industry,2.63,326
Country,Citizenship,7.31,332
Planet,People,5.75,333
Experience,Music,3.47,335
Music,Project,3.63,336
Glass,Metal,5.56,337
Aluminium,Metal,7.83,338
Rock music,Jazz,7.59,342
Museum,Theater (structure),7.19,343
Observation,Architecture,4.38,344
Outer space,World,6.53,345
Weather,Weather forecasting,8.34,350
Disaster,Disaster area,6.25,351
Governor,Office,6.34,352
Architecture,Century,3.78,353
